D	SN	WD	KD	KG	KN	SG	SD	ŚD	MD	WN	WG	ŚG	ŚN	gesture_id
0.484662576687116	0.0	0.384615384615385	0.2109375	0.859375	1.0	0.5826771653543306	0.3398692810457522	0.234375	0.4368231046931407	0.6046511627906974	0.0740740740740744	0.3333333333333339	0.36842105263157876	2
0.5030674846625764	0.08955223880596996	0.384615384615385	0.2109375	0.859375	1.0	0.5984251968503935	0.3725490196078436	0.234375	0.43862815884476525	0.6046511627906974	0.0740740740740744	0.3333333333333339	0.36842105263157876	2
0.5030674846625764	0.02985074626865547	0.384615384615385	0.1875	0.8645833333333339	1.0	0.5984251968503935	0.35947712418300704	0.25	0.43321299638989175	0.6046511627906974	0.0740740740740744	0.3333333333333339	0.4210526315789469	2
0.4785276073619631	0.05970149253731272	0.3461538461538467	0.1796875	0.8489583333333339	1.0	0.6299212598425195	0.3464052287581705	0.234375	0.43321299638989175	0.6046511627906974	0.1111111111111116	0.3333333333333339	0.4210526315789469	2
0.49079754601226977	0.05970149253731272	0.32692307692307665	0.171875	0.84375	1.0	0.6141732283464565	0.35294117647058876	0.296875	0.4314079422382672	0.5930232558139537	0.0740740740740744	0.40000000000000036	0.36842105263157876	2
0.4785276073619631	0.05970149253731272	0.3461538461538467	0.171875	0.8645833333333339	1.0	0.6614173228346454	0.3660130718954253	0.3125	0.427797833935018	0.5930232558139537	0.0740740740740744	0.3333333333333339	0.4210526315789469	2
0.5092024539877302	0.05970149253731272	0.3461538461538467	0.1640625	0.854166666666667	1.0	0.6456692913385824	0.35947712418300704	0.296875	0.42599277978339345	0.5930232558139537	0.0740740740740744	0.3333333333333339	0.4210526315789469	2
0.5153374233128831	0.044776119402984094	0.3461538461538467	0.171875	0.8645833333333339	1.0	0.6456692913385824	0.3398692810457522	0.234375	0.4314079422382672	0.5813953488372094	0.0740740740740744	0.4666666666666668	0.4210526315789469	2
0.4785276073619631	0.044776119402984094	0.32692307692307665	0.140625	0.854166666666667	1.0	0.5826771653543306	0.35294117647058876	0.21875	0.4314079422382672	0.5813953488372094	0.0370370370370372	0.3333333333333339	0.4210526315789469	2
0.4785276073619631	0.02985074626865547	0.3076923076923066	0.140625	0.859375	1.0	0.6456692913385824	0.35947712418300704	0.296875	0.427797833935018	0.5697674418604652	0.0740740740740744	0.3333333333333339	0.4210526315789469	2
0.49693251533742266	0.014925373134328623	0.32692307692307665	0.15625	0.859375	1.0	0.6771653543307083	0.3725490196078436	0.296875	0.4296028880866426	0.5697674418604652	0.0370370370370372	0.3333333333333339	0.4736842105263168	2
0.46012269938650263	0.014925373134328623	0.32692307692307665	0.140625	0.8645833333333339	1.0	0.7086614173228343	0.35947712418300704	0.3125	0.4241877256317689	0.558139534883721	0.0370370370370372	0.3333333333333339	0.4736842105263168	2
0.45398773006134974	0.014925373134328623	0.32692307692307665	0.15625	0.875	1.0	0.6456692913385824	0.35294117647058876	0.296875	0.4241877256317689	0.558139534883721	0.0370370370370372	0.3333333333333339	0.526315789473685	2
0.4723926380368093	0.08955223880596996	0.3076923076923066	0.140625	0.854166666666667	1.0	0.6614173228346454	0.35947712418300704	0.3125	0.4241877256317689	0.558139534883721	0.0740740740740744	0.3333333333333339	0.526315789473685	2
0.4723926380368093	0.08955223880596996	0.3076923076923066	0.140625	0.859375	1.0	0.6535433070866139	0.35294117647058876	0.34375	0.42599277978339345	0.5697674418604652	0.0370370370370372	0.40000000000000036	0.4736842105263168	2
0.5705521472392636	0.11940298507462721	0.2692307692307683	0.296875	0.901041666666667	0.897058823529413	0.6929133858267713	0.4575163398692812	0.359375	0.5342960288808664	0.558139534883721	0.0740740740740744	0.5333333333333332	0.526315789473685	2
0.6871165644171775	0.13432835820895406	0.4615384615384617	0.5390625	0.9375	1.0	0.6377952755905509	0.44444444444444464	0.359375	0.5252707581227437	0.6279069767441858	0.518518518518519	0.6666666666666679	0.6842105263157894	2
0.7239263803680975	0.20895522388059717	0.42307692307692335	0.40625	0.963541666666667	1.0	0.6299212598425195	0.3202614379084965	0.25	0.5126353790613719	0.9767441860465116	0.6296296296296298	0.5333333333333332	0.7894736842105274	2
0.9447852760736195	0.3731343283582085	0.384615384615385	0.6484375	0.984375	1.0	0.5984251968503935	0.784313725490196	0.390625	0.572202166064982	0.9651162790697674	0.6296296296296298	0.6666666666666679	0.6842105263157894	2
0.9877300613496933	0.3731343283582085	0.32692307692307665	0.765625	0.963541666666667	1.0	0.5748031496062991	0.9150326797385624	0.5625	0.5631768953068591	0.9767441860465116	0.5925925925925926	0.6666666666666679	0.6315789473684212	2
1.0	0.19402985074626855	0.3076923076923066	0.578125	0.96875	1.0	0.5590551181102361	1.0	0.578125	0.5397111913357401	0.941860465116279	0.6296296296296298	0.5333333333333332	0.5789473684210531	2
0.9815950920245395	0.3283582089552244	0.5384615384615383	0.7890625	1.0	0.897058823529413	0.6692913385826769	0.8562091503267979	0.46875	0.5090252707581228	0.8953488372093021	0.48148148148148184	1.0	0.6315789473684212	2
0.9386503067484657	0.3731343283582085	0.4615384615384617	0.625	0.96875	0.8676470588235308	0.7952755905511806	0.9411764705882355	0.421875	0.49638989169675096	0.8023255813953489	0.22222222222222232	1.0	0.5789473684210531	2
0.8588957055214719	0.9701492537313428	0.5384615384615383	0.640625	0.921875	0.8088235294117663	1.0	0.7908496732026142	0.5625	0.48375451263537894	0.5930232558139537	0.0	0.5333333333333332	0.8421052631578956	2
0.8466257668711652	0.8358208955223869	0.5	0.5	0.8802083333333339	0.764705882352942	0.9370078740157473	0.7647058823529411	0.65625	0.45848375451263534	0.4883720930232558	0.1111111111111116	0.5333333333333332	0.7368421052631575	2
0.6993865030674842	0.8805970149253728	0.4615384615384617	0.6640625	0.7552083333333339	0.632352941176471	0.7952755905511806	0.8235294117647056	0.640625	0.46389891696750907	0.36046511627906974	0.0370370370370372	0.6000000000000014	0.6315789473684212	2
0.8773006134969323	0.7313432835820883	0.48076923076922995	0.796875	0.3645833333333339	0.397058823529413	0.7165354330708658	0.7058823529411766	0.53125	0.45667870036101077	0.2558139534883721	0.1481481481481488	0.5333333333333332	0.6315789473684212	2
0.8036809815950914	0.7313432835820883	0.5192307692307683	0.7578125	0.234375	0.35294117647058876	0.7007874015748028	0.6339869281045756	0.453125	0.5054151624548736	0.17441860465116266	0.2592592592592595	0.40000000000000036	0.5789473684210531	2
0.9018404907975457	0.746268656716417	0.5	0.6953125	0.26041666666666696	0.1911764705882355	0.6456692913385824	0.5947712418300659	0.578125	0.4747292418772563	0.15116279069767447	0.1111111111111116	0.3333333333333339	0.526315789473685	2
0.7239263803680975	0.5522388059701484	0.4423076923076916	0.671875	0.052083333333333925	0.25	0.6692913385826769	0.6078431372549025	0.765625	0.47111913357400714	0.12790697674418605	0.0740740740740744	0.40000000000000036	0.526315789473685	2
